chrom	start	end	A549_WT_01dex_A	A549_WT_01dex_B	A549_WT_0dex_A	A549_WT_0dex_B	A549_WT_100dex_A	A549_WT_100dex_B	U20S_WT_01dex_A	U20S_WT_01dex_B	U20S_WT_0dex_A	U20S_WT_0dex_B	U20S_WT_100dex_A	U20S_WT_100dex_B
5221	chr14	56992100	56992910	0	1	0	2	1	0	50	46	28	57	22	89
5222	chr14	58076920	58077340	0	0	0	0	0	0	39	77	22	71	8	50
5223	chr14	58077660	58078880	3	3	6	6	4	3	271	176	84	225	54	155
5224	chr14	58082320	58083050	6	28	12	23	20	9	26	23	16	28	12	35
5225	chr14	58455680	58456150	0	13	4	13	5	5	0	4	0	4	1	1
5226	chr14	58663130	58664300	3	3	0	0	4	0	151	180	21	99	35	130
5227	chr14	58731140	58732060	2	5	6	4	4	8	23	26	7	12	5	34
5228	chr14	58745280	58745920	1	0	0	0	1	0	81	126	12	12	35	154
5229	chr14	58746200	58746610	0	2	1	8	2	2	23	47	3	7	28	62
5230	chr14	58918000	58918440	0	0	0	0	0	0	12	10	5	21	2	8
5231	chr14	58970220	58970590	0	1	1	0	0	0	3	5	6	5	1	4
5232	chr14	59098330	59099010	9	14	13	13	6	5	15	10	2	15	2	12
5233	chr14	59695230	59695550	0	0	0	0	0	0	0	4	0	0	3	5
5234	chr14	60094030	60094760	4	9	3	11	5	10	65	109	25	86	32	95
5235	chr14	60331190	60332090	8	10	6	8	9	4	23	25	19	29	11	42
5236	chr14	60514880	60515260	4	8	8	8	6	8	4	3	6	13	3	4
5237	chr14	60656880	60658150	19	83	42	81	46	48	118	128	72	157	57	134
5238	chr14	60722220	60722760	6	11	16	16	7	8	17	19	20	30	3	12
5239	chr14	61103230	61104370	62	192	67	184	103	116	143	114	69	138	57	157
5240	chr14	61120930	61121260	4	8	2	9	2	8	1	2	0	0	0	3
5241	chr14	61147600	61148720	1	1	0	1	0	0	52	49	42	72	20	79
5242	chr14	61177670	61179540	61	71	39	64	57	49	187	136	89	181	38	96
5243	chr14	61188120	61188610	8	30	12	28	33	24	1	0	1	0	0	0
5244	chr14	61188810	61189730	20	24	24	31	26	26	0	0	0	0	0	0
5245	chr14	61355790	61356400	7	19	8	15	13	10	23	14	5	9	6	29
5246	chr14	61420120	61420760	18	29	13	32	41	28	5	1	3	4	2	6
5247	chr14	61438590	61439540	30	73	33	82	37	53	3	7	1	6	4	4
5248	chr14	61462610	61463130	14	32	13	28	20	13	3	2	2	4	0	4
5249	chr14	61466060	61466900	6	27	14	23	40	32	34	38	5	6	21	46
5250	chr14	61471660	61472610	55	118	29	112	52	54	22	25	9	20	8	16
5251	chr14	61476360	61477490	87	191	74	195	80	115	2	4	1	1	3	2
5252	chr14	61477760	61478380	47	148	68	155	77	84	2	3	1	1	1	2
5253	chr14	61492850	61493720	14	22	23	29	18	20	35	15	21	26	11	18
5254	chr14	61511800	61512420	20	54	27	61	27	37	6	3	2	4	0	2
5255	chr14	61512440	61512790	4	11	3	15	7	7	0	1	0	2	1	1
5256	chr14	61524720	61525120	28	55	22	38	18	21	2	11	2	6	2	9
5257	chr14	61525140	61525840	30	104	51	125	49	55	20	9	10	16	13	17
5258	chr14	61527590	61528260	33	61	15	53	41	43	39	37	17	22	13	58
5259	chr14	61552540	61553170	53	89	46	128	40	53	9	21	10	16	5	12
5260	chr14	61554000	61554750	83	197	51	180	107	94	27	26	13	24	12	25
5261	chr14	61559350	61560120	125	242	122	267	141	147	10	6	7	10	4	9
5262	chr14	61561300	61562400	161	473	169	412	192	221	224	243	149	306	53	217
5263	chr14	61564330	61565060	32	78	27	74	35	29	115	110	58	145	33	79
5264	chr14	61569670	61570480	8	7	0	11	4	6	113	82	88	120	21	53
5265	chr14	61575480	61576040	0	0	0	0	1	1	26	21	15	34	5	15
5266	chr14	61585910	61586530	13	20	6	14	25	20	20	22	9	20	9	36
5267	chr14	61698630	61699440	65	223	99	190	88	124	39	23	12	43	6	33
5268	chr14	61750730	61751370	137	449	199	517	298	307	52	66	37	82	11	64
5269	chr14	61754830	61755340	44	132	27	93	67	55	27	16	9	37	4	13
5270	chr14	61765810	61766290	2	12	2	6	7	6	5	16	1	20	9	23
5271	chr14	61965380	61965800	0	1	0	1	0	0	6	6	1	3	0	2
5272	chr14	61973870	61974020	0	0	0	0	0	0	5	4	5	4	4	3
5273	chr14	61974040	61974460	0	2	0	1	1	0	5	7	8	10	1	7
5274	chr14	62443890	62444220	0	0	0	0	0	0	1	1	4	3	0	1
5275	chr14	62692210	62692490	0	7	2	7	6	1	20	4	12	8	2	6
5276	chr14	63101440	63102380	0	0	0	1	0	0	16	28	27	47	13	38
5277	chr14	63174620	63175300	0	0	0	0	1	0	21	9	9	35	3	9
5278	chr14	63178670	63179410	0	0	0	0	0	0	6	10	15	30	5	9
5279	chr14	63893800	63894190	17	33	19	38	24	21	1	4	2	3	1	1
5280	chr14	63896230	63896670	9	36	5	38	10	17	8	3	0	4	1	3
5281	chr14	63922800	63923410	8	48	15	33	19	27	1	2	0	1	1	1
5282	chr14	64421190	64421500	6	21	7	7	6	12	13	11	8	15	4	8
5283	chr14	64569050	64569510	1	20	5	20	9	7	1	4	0	6	2	1
5284	chr14	64619480	64619750	0	0	0	3	0	1	3	2	0	4	2	2
5285	chr14	64632280	64632930	1	1	2	1	0	0	48	63	20	73	19	51
5286	chr14	64632950	64633570	1	0	0	0	0	0	20	34	4	46	7	44
5287	chr14	64639510	64640060	0	0	0	0	0	2	11	13	8	27	4	10
5288	chr14	64645130	64646060	17	46	10	33	18	16	39	52	27	104	15	65
5289	chr14	64648440	64648920	13	33	9	32	19	21	5	13	3	14	1	4
5290	chr14	64654220	64654610	0	6	5	10	4	11	3	6	3	5	0	5
5291	chr14	64661040	64661570	0	0	1	0	1	0	8	19	18	40	2	12
5292	chr14	64662760	64663460	1	2	1	1	0	1	37	61	27	101	9	27
5293	chr14	64681890	64682890	3	0	3	3	3	1	29	24	16	53	10	21
5294	chr14	64720100	64720550	5	52	15	25	4	14	9	20	6	38	1	3
5295	chr14	64726430	64726940	4	23	10	16	9	4	11	13	14	37	2	5
5296	chr14	64786220	64786710	3	4	1	4	7	4	23	17	19	23	3	7
5297	chr14	64786730	64787060	2	1	1	1	2	4	6	3	7	10	1	3
5298	chr14	64805600	64807110	38	112	26	93	76	60	93	102	56	191	12	63
5299	chr14	64817670	64818060	9	8	10	7	6	7	6	4	2	8	1	3
5300	chr14	64841190	64841670	2	7	5	10	3	3	12	5	5	15	2	7
5301	chr14	65170600	65170980	3	8	4	9	6	4	4	0	0	3	0	1
5302	chr14	65171000	65171260	11	15	11	9	11	10	3	4	0	5	1	5
5303	chr14	65180240	65180880	4	8	9	12	4	3	7	3	5	9	3	4
5304	chr14	65229550	65230730	29	53	46	53	52	42	97	72	64	93	24	75
5305	chr14	65236300	65236680	3	4	3	4	2	1	10	4	5	16	1	7
5306	chr14	65238130	65238560	1	1	0	5	2	0	17	17	19	37	4	19
5307	chr14	65239120	65239660	2	4	4	15	0	4	13	17	7	28	0	3
5308	chr14	65243860	65244220	3	10	4	9	3	4	2	1	1	4	0	2
5309	chr14	65281990	65283170	1	2	0	1	1	0	218	184	69	130	84	179
5310	chr14	65353150	65353470	3	4	0	3	2	1	1	1	0	0	0	1
5311	chr14	65411630	65413540	435	1084	729	1238	583	813	375	418	347	440	170	426
5312	chr14	65791770	65792540	2	5	1	6	4	1	25	17	11	25	3	11
5313	chr14	65949990	65950570	0	0	0	0	0	1	5	11	0	1	8	14
5314	chr14	66932530	66933040	5	22	0	25	16	8	9	9	4	10	4	8
5315	chr14	67221190	67222150	0	2	1	1	0	2	77	42	34	59	22	32
5316	chr14	67414040	67414470	3	5	4	3	7	5	11	5	9	9	3	10
5317	chr14	67556930	67557600	2	3	1	4	2	2	24	17	15	30	7	17
5318	chr14	67738890	67739400	17	44	17	46	19	23	8	9	4	14	8	15
5319	chr14	67934030	67934270	5	5	0	2	1	2	1	2	1	1	0	1
5320	chr14	67940990	67942430	51	97	34	107	34	39	1	2	1	0	2	0
5321	chr14	68088430	68089660	41	113	56	97	90	56	10	15	6	11	2	12
5322	chr14	68104050	68105080	1	13	6	8	11	4	14	23	9	41	6	20
5323	chr14	68125090	68125680	11	30	18	24	9	13	11	15	12	18	2	11
5324	chr14	68137650	68138300	41	72	39	67	54	28	113	56	20	81	27	50
5325	chr14	68139770	68140880	42	148	44	156	75	58	144	203	59	195	23	95
5326	chr14	68146420	68147790	58	114	69	153	30	40	107	161	62	237	24	110
5327	chr14	68165160	68165560	7	17	1	14	5	9	3	1	0	4	0	2
5328	chr14	68172360	68173850	92	175	107	211	85	79	1	6	1	9	2	11
5329	chr14	68181300	68182270	34	45	17	68	21	21	7	6	5	3	0	5
5330	chr14	68191450	68192460	35	107	71	120	39	43	6	5	3	9	2	3
5331	chr14	68231510	68232190	36	54	24	77	32	13	10	27	10	27	6	9
5332	chr14	68232370	68233050	12	39	31	70	15	19	8	15	4	21	6	10
5333	chr14	68248820	68249160	9	23	6	17	14	6	9	5	5	5	1	1
5334	chr14	68278680	68279400	43	64	44	68	51	63	2	6	5	3	0	4
5335	chr14	68360080	68360520	4	11	5	12	13	9	17	13	4	9	15	27
5336	chr14	68364800	68365550	7	13	7	8	13	10	27	32	26	55	12	28
5337	chr14	68458580	68460120	139	277	121	264	203	214	154	226	66	216	47	206
5338	chr14	68465290	68465580	4	10	5	4	6	2	8	5	7	19	6	6
5339	chr14	68466430	68466890	24	35	17	41	32	31	11	19	7	21	0	8
5340	chr14	68468540	68469100	10	15	7	15	6	8	13	10	5	11	5	10
5341	chr14	68505970	68506880	4	16	2	7	5	6	29	23	3	2	39	77
5342	chr14	68520820	68521800	7	14	8	13	25	15	42	46	21	44	23	66
5343	chr14	68535320	68535550	3	4	2	1	6	3	1	0	0	0	0	2
5344	chr14	68535570	68535890	7	8	5	16	7	14	4	3	1	4	0	1
5345	chr14	68546630	68549370	266	597	279	514	707	715	583	661	47	66	479	1039
5346	chr14	68550300	68550880	1	6	2	2	15	7	19	16	5	2	19	28
5347	chr14	68554520	68555110	4	1	0	2	10	9	18	13	6	3	13	25
5348	chr14	68555610	68556280	2	11	3	11	10	8	8	24	0	3	12	50
5349	chr14	68577370	68578320	10	13	11	16	26	13	36	44	29	60	19	45
5350	chr14	68598470	68599590	62	115	95	146	91	120	3	5	1	8	3	6
5351	chr14	68682940	68683500	7	6	1	3	3	4	62	73	24	57	8	41
5352	chr14	68687610	68688140	6	13	9	19	13	5	114	49	29	80	16	32
5353	chr14	68688620	68689060	1	3	1	7	7	3	118	120	56	102	26	61
5354	chr14	68694400	68696010	35	68	34	82	84	63	674	778	284	647	217	558
5355	chr14	68702810	68703560	4	9	5	9	11	1	23	30	19	28	2	26
5356	chr14	68778840	68779250	12	16	4	14	16	18	4	5	0	4	2	10
5357	chr14	68779850	68780160	19	18	18	18	23	25	11	6	1	8	5	22
5358	chr14	68789240	68789790	144	509	187	619	273	321	132	251	99	345	82	159
5359	chr14	68806710	68807610	29	65	25	77	46	59	26	23	23	26	18	28
5360	chr14	68814630	68815320	48	171	66	155	82	108	93	67	48	94	21	72
5361	chr14	68815930	68817200	119	259	148	337	191	168	264	267	165	295	110	270
5362	chr14	68824820	68825110	1	13	3	6	5	8	2	12	2	13	2	20
5363	chr14	68937750	68939210	120	287	107	285	202	240	45	68	36	88	13	34
5364	chr14	68950700	68952040	60	158	59	151	129	115	149	141	72	221	58	140
5365	chr14	69004470	69006200	4	9	1	10	2	2	48	76	52	138	11	35
5366	chr14	69038610	69039150	8	12	5	9	5	2	5	5	4	11	2	3
5367	chr14	69077730	69078130	2	4	2	7	3	2	12	15	14	28	7	13
5368	chr14	69079180	69079950	5	9	12	11	11	7	44	43	29	90	10	40
5369	chr14	69154840	69155170	33	47	20	40	38	32	25	13	9	19	3	23
5370	chr14	69317060	69317450	5	8	5	6	4	6	12	21	10	23	6	13
5371	chr14	69694790	69695220	3	2	0	7	2	4	0	2	2	1	2	5
5372	chr14	69726670	69726980	1	3	2	3	2	1	11	15	6	12	2	18
5373	chr14	69727000	69727340	2	3	0	3	1	3	6	13	3	6	6	13
5374	chr14	69755450	69755890	1	0	0	1	0	0	1	0	0	2	1	5
5375	chr14	69980310	69981440	1	8	7	13	11	6	75	131	29	70	39	130
5376	chr14	69998910	69999570	19	63	21	54	26	29	5	2	2	6	0	5
5377	chr14	70032310	70033030	14	27	12	17	20	11	30	35	13	32	7	27
5378	chr14	70069320	70069720	0	1	0	0	4	4	0	0	0	1	0	0
5379	chr14	70254430	70255630	23	50	27	39	60	29	125	93	43	91	27	67
5380	chr14	70323580	70324190	29	59	24	31	24	32	41	35	27	43	17	57
5381	chr14	70665800	70666840	6	12	5	15	13	4	67	80	28	112	23	45
5382	chr14	70755020	70755710	3	16	8	19	17	14	27	27	10	21	5	18
5383	chr14	70821730	70822310	9	43	19	44	31	40	24	39	20	29	7	34
5384	chr14	70856590	70857560	1	2	0	0	2	0	49	37	14	23	21	40
5385	chr14	70908470	70908940	11	41	29	32	29	37	31	48	26	48	10	46
5386	chr14	71142270	71143680	1	2	1	3	5	1	142	136	39	78	65	111
5387	chr14	71187480	71188890	0	1	0	0	0	0	54	92	22	36	45	113
5388	chr14	72607990	72609190	12	20	9	25	13	10	70	32	37	38	25	67
5389	chr14	72642980	72643840	7	27	8	20	16	6	64	51	20	63	16	41
5390	chr14	72665210	72665980	2	3	2	3	1	3	20	26	6	49	3	14
5391	chr14	72666390	72667010	0	3	0	2	0	1	25	30	22	53	0	16
5392	chr14	72745610	72747010	0	1	1	1	1	0	58	109	34	76	13	52
5393	chr14	72781100	72782520	17	21	15	34	18	15	142	175	48	91	50	94
5394	chr14	73228230	73228800	23	87	37	73	23	41	20	21	11	25	7	22
5395	chr14	73245630	73246390	3	5	5	3	1	3	191	95	146	92	80	132
5396	chr14	73462130	73462770	14	43	19	43	18	19	0	0	0	0	0	0
5397	chr14	73463430	73463800	9	12	11	16	5	6	0	2	0	0	0	0
5398	chr14	73612310	73613310	31	66	52	94	47	75	0	0	0	0	1	5
5399	chr14	73639670	73640090	0	1	0	0	1	0	4	2	0	2	1	2
5400	chr14	73723880	73724340	19	66	23	53	31	27	41	41	7	29	13	46
5401	chr14	73740840	73741170	5	24	9	14	9	10	19	37	13	26	9	58
5402	chr14	73741520	73741950	12	26	11	27	17	20	27	22	13	20	15	22
5403	chr14	73789730	73790770	2	15	14	17	9	9	131	178	34	101	61	263
5404	chr14	73795870	73796800	4	6	3	5	3	1	33	39	13	45	12	50
5405	chr14	73800770	73801270	1	0	3	5	2	1	4	7	1	0	5	34
5406	chr14	74566450	74567550	92	266	87	271	223	158	69	77	31	49	27	86
5407	chr14	74571400	74572130	69	119	81	105	69	62	132	76	67	146	16	56
5408	chr14	74579750	74580440	20	39	14	24	15	17	26	21	16	51	5	9
5409	chr14	74610330	74611110	19	53	12	44	15	21	41	63	48	86	13	38
5410	chr14	74616410	74617280	73	141	64	141	82	70	46	56	40	93	25	77
5411	chr14	74619660	74621160	123	242	133	262	216	141	360	384	225	538	70	302
5412	chr14	75221960	75222390	0	0	0	0	0	0	9	9	2	8	3	12
5413	chr14	75234430	75234890	1	1	0	2	0	2	24	13	5	9	8	10
5414	chr14	75258560	75259650	42	117	54	138	60	96	28	46	26	34	23	41
5415	chr14	75276930	75277730	46	142	74	222	92	113	18	22	22	35	10	23
5416	chr14	75293910	75295320	116	322	154	357	275	297	74	69	60	62	27	75
5417	chr14	75296060	75296380	9	10	8	15	22	11	5	2	2	3	0	3
5418	chr14	75452940	75453810	37	82	28	72	54	44	52	57	32	58	17	43
5419	chr14	75535710	75536440	13	21	11	21	23	21	11	6	0	2	4	7
5420	chr14	75559750	75559950	9	5	3	2	10	4	1	0	0	0	2	1
5421	chr14	75559970	75560310	1	3	0	0	5	6	0	0	0	0	0	0
5422	chr14	75646190	75646600	13	27	7	30	21	17	29	20	20	39	7	43
5423	chr14	75711600	75712260	8	24	5	25	9	6	42	41	21	51	8	50
5424	chr14	75867910	75868280	2	5	2	3	3	5	10	10	4	11	5	9
5425	chr14	76904240	76905330	35	123	46	110	79	84	3	3	1	6	1	3
5426	chr14	76918630	76919680	64	174	77	165	93	96	52	60	36	86	21	53
5427	chr14	76919710	76920300	31	78	50	90	53	49	12	10	8	19	0	6
5428	chr14	76947120	76947640	3	18	6	28	5	11	4	0	3	6	1	4
5429	chr14	76953370	76953870	33	133	17	133	62	69	17	24	18	12	2	20
5430	chr14	76955990	76957000	45	171	59	170	93	119	42	54	49	72	30	56
5431	chr14	76961610	76962350	15	29	22	34	16	19	10	10	6	21	4	19
5432	chr14	77032720	77034450	254	557	251	616	508	413	162	198	137	221	72	205
5433	chr14	77040040	77041080	38	81	45	97	47	63	36	34	34	29	13	54
5434	chr14	77045440	77045940	8	10	4	22	12	19	20	8	12	7	7	2
5435	chr14	77059560	77059960	0	4	2	11	6	7	13	13	5	7	2	11
5436	chr14	77124870	77125170	7	38	12	53	21	28	6	11	2	16	4	8
5437	chr14	77302960	77303350	14	19	10	25	12	13	10	8	4	16	2	9
5438	chr14	77612610	77612960	3	3	3	3	0	2	10	14	3	9	8	6
5439	chr14	77965800	77966300	2	1	1	2	6	3	3	5	0	2	7	17
5440	chr14	79045230	79045610	6	3	0	2	12	7	9	4	0	0	2	3
5441	chr14	80215690	80216370	31	57	31	41	34	32	0	2	0	3	0	0
5442	chr14	80388850	80389530	0	4	1	7	2	0	48	36	18	48	19	45
5443	chr14	80637720	80638050	3	10	3	8	3	7	16	9	5	6	5	17
5444	chr14	80638060	80639000	42	59	31	60	20	24	58	39	20	42	15	39
5445	chr14	80941320	80942260	40	101	35	93	74	76	57	68	52	46	34	75
5446	chr14	81170140	81170930	83	330	91	338	135	201	90	125	45	111	45	168
5447	chr14	81323950	81324440	26	71	20	76	66	51	27	34	24	48	17	36
5448	chr14	81400070	81400360	1	1	1	5	9	6	11	11	1	6	4	11
5449	chr14	81400800	81401400	4	11	2	11	19	14	22	26	4	27	23	38
5450	chr14	81435890	81436180	1	8	1	3	12	17	5	6	1	6	0	0
5451	chr14	81436200	81437000	16	36	16	51	49	56	20	23	16	46	15	28
5452	chr14	82642220	82642830	2	6	2	7	0	3	19	17	23	10	5	23
5453	chr14	83478690	83479160	0	0	0	0	0	0	8	5	4	14	0	2
5454	chr14	83639010	83639610	0	0	0	0	1	0	7	6	2	3	5	5
5455	chr14	85415020	85415840	2	6	10	3	2	0	12	23	15	30	5	18
5456	chr14	85437580	85437880	1	1	1	2	0	0	22	7	2	15	0	3
5457	chr14	85440030	85440830	0	1	1	2	2	0	43	45	10	77	10	23
5458	chr14	85471760	85472140	3	8	5	5	6	1	3	2	1	8	2	2
5459	chr14	86574440	86575100	1	1	0	4	0	1	23	15	6	21	5	9
5460	chr14	87991310	87991640	1	4	1	3	10	1	13	11	10	14	2	4
5461	chr14	88551350	88552270	68	166	82	161	131	109	132	195	145	244	80	194
5462	chr14	88630470	88630940	3	8	4	10	16	16	14	16	7	12	2	13
5463	chr14	88825160	88825550	7	23	4	16	8	7	19	20	4	22	7	42
5464	chr14	88904760	88905570	0	0	0	0	1	0	12	23	9	26	5	6
5465	chr14	88983630	88984110	5	8	6	9	4	0	1	1	0	1	1	0
5466	chr14	89040380	89041370	26	36	27	40	23	22	35	49	26	41	25	52
5467	chr14	89428680	89429630	0	3	0	0	1	0	128	107	33	60	45	130
5468	chr14	89444280	89444560	1	0	0	0	0	0	8	11	0	2	2	6
5469	chr14	89701500	89702160	3	13	2	19	12	4	12	7	4	9	9	22
5470	chr14	89811220	89811550	0	0	1	1	1	0	2	3	0	1	0	9
5471	chr14	89813450	89814510	2	1	1	3	1	2	129	132	54	121	77	221
5472	chr14	90382370	90383660	172	383	238	508	245	341	94	115	71	122	40	146
5473	chr14	90491610	90492360	0	0	0	0	0	0	18	15	7	11	12	31
5474	chr14	90501970	90502230	6	6	4	2	22	9	5	1	0	1	5	14
5475	chr14	90533950	90534630	2	10	3	11	2	4	19	20	4	4	11	30
5476	chr14	90758220	90758820	36	57	38	95	30	58	8	17	8	12	11	13
5477	chr14	90827970	90828540	17	49	37	48	23	34	35	30	49	31	34	68
5478	chr14	90851040	90851520	1	0	1	1	3	2	7	15	5	10	1	12
5479	chr14	91119870	91120220	3	4	2	5	13	7	0	1	1	3	0	2
5480	chr14	91283880	91284560	2	2	1	4	1	1	8	9	4	9	5	15
5481	chr14	91323770	91324500	1	5	1	1	3	1	21	28	6	17	6	25
5482	chr14	91872000	91873020	42	112	42	96	40	52	1	1	0	2	0	0
5483	chr14	92373420	92373850	1	0	0	0	0	0	4	5	1	2	2	6
5484	chr14	92471970	92472210	11	24	10	17	7	4	5	3	1	1	5	8
5485	chr14	92473170	92474180	37	98	29	106	44	59	0	0	0	1	1	1
5486	chr14	92540540	92541000	18	34	22	48	14	46	3	6	0	4	0	6
5487	chr14	92600730	92601060	9	20	16	13	6	8	0	1	0	0	0	0
5488	chr14	94474600	94475170	2	4	2	3	3	4	10	13	10	23	3	6
5489	chr14	94481220	94481680	0	0	0	0	0	0	11	8	3	15	1	4
5490	chr14	94486420	94486830	1	6	0	1	4	2	7	10	5	19	0	17
5491	chr14	94599150	94599930	29	86	27	43	56	53	33	18	4	10	18	51
5492	chr14	94601870	94602340	13	21	9	14	45	21	34	26	8	6	7	11
5493	chr14	95220550	95221380	11	20	11	20	19	19	54	32	20	43	28	74
5494	chr14	95265390	95266090	34	55	20	57	47	33	57	31	25	20	20	74
5495	chr14	95313920	95314310	9	31	9	26	21	27	2	2	1	2	1	1
5496	chr14	95516450	95517070	1	4	5	10	4	8	15	18	11	17	3	23
5497	chr14	95620570	95621160	0	0	0	0	0	0	20	11	11	10	4	34
5498	chr14	96095580	96096250	28	86	30	85	36	39	5	4	1	6	4	10
5499	chr14	96104520	96105030	8	15	7	24	9	7	0	0	0	0	0	0
5500	chr14	96268850	96269520	39	88	51	78	42	52	5	2	2	8	0	5
5501	chr14	96309180	96309630	10	22	14	20	11	16	0	2	0	3	1	0
5502	chr14	96783070	96783760	0	1	2	0	1	0	31	11	9	33	4	8
5503	chr14	97107020	97107610	1	0	1	1	0	0	17	2	2	7	13	6
5504	chr14	97107800	97108150	0	2	0	0	0	0	14	17	4	18	7	17
5505	chr14	97180270	97181330	2	1	1	3	2	2	52	38	26	49	25	85
5506	chr14	98953480	98953940	3	5	3	6	15	7	1	1	0	0	0	1
5507	chr14	99035650	99036640	19	42	23	56	54	36	73	80	34	82	16	77
5508	chr14	99273100	99273370	5	1	1	9	2	4	9	22	11	16	1	20
5509	chr14	99274200	99275030	4	37	24	35	8	23	11	48	16	31	9	31
5510	chr14	99316150	99316940	15	37	13	34	22	11	0	0	0	0	0	4
5511	chr14	99378720	99379040	4	21	18	14	13	14	5	14	3	13	2	3
5512	chr14	99383180	99383440	2	3	2	2	8	4	1	1	0	0	0	0
5513	chr14	99538100	99538440	1	3	1	4	5	2	7	9	1	5	2	15
5514	chr14	99574200	99575160	8	32	8	37	13	14	69	81	42	89	23	93
5515	chr14	99579230	99579580	2	10	5	15	2	7	39	35	18	33	14	45
5516	chr14	99579650	99580250	3	15	3	14	2	2	30	63	13	45	11	52
5517	chr14	99676950	99677860	0	0	1	4	3	1	40	57	12	33	30	64
5518	chr14	99730040	99730280	2	16	1	14	4	6	0	0	0	0	0	1
5519	chr14	99730440	99730990	14	44	21	54	35	26	1	0	0	1	0	0
5520	chr14	99746680	99747120	7	37	6	29	16	13	0	0	0	0	1	0
5521	chr14	100030550	100031190	10	12	5	4	23	27	17	10	1	1	10	25
5522	chr14	100031220	100032420	43	89	35	75	158	121	100	114	30	84	43	133
5523	chr14	100182230	100182630	22	31	11	32	16	17	1	6	0	8	1	2
5524	chr14	100192670	100193470	48	127	98	152	93	141	76	69	49	69	55	92
5525	chr14	100213770	100214900	140	449	249	497	324	329	100	150	88	156	66	176
5526	chr14	100240240	100240740	21	58	20	85	37	30	12	33	8	30	10	30
5527	chr14	100304690	100305260	9	38	10	40	11	18	6	10	6	22	2	9
5528	chr14	100341260	100341700	11	19	17	29	10	12	6	4	1	9	0	3
5529	chr14	100408470	100408740	12	10	3	16	16	10	2	0	0	4	2	3
5530	chr14	100410060	100410560	10	11	12	12	7	11	2	2	1	5	1	2
5531	chr14	100417220	100417900	16	30	25	43	18	25	4	5	5	3	1	1
5532	chr14	100439170	100439700	6	13	8	18	12	9	18	13	11	10	5	17
5533	chr14	100476150	100476770	17	47	25	36	16	23	4	7	3	2	2	0
5534	chr14	100586230	100587660	71	288	122	378	216	183	85	145	83	185	27	139
5535	chr14	100665530	100665970	14	10	15	15	15	19	0	1	0	0	1	6
5536	chr14	100692630	100693870	61	123	60	172	92	75	84	85	40	91	38	68
5537	chr14	100825870	100826370	20	67	21	62	50	48	0	0	0	0	0	0
5538	chr14	100988620	100988930	5	15	12	13	7	10	1	3	0	0	1	2
5539	chr14	101073000	101073700	24	55	32	83	26	42	4	7	6	12	3	12
5540	chr14	101151300	101151760	2	9	1	13	1	2	1	0	0	0	1	0
5541	chr14	101228880	101229710	75	150	87	141	125	123	13	13	10	15	7	5
5542	chr14	101230070	101230720	42	79	31	92	78	41	12	10	17	6	8	15
5543	chr14	101475660	101477720	438	1264	460	1338	349	418	1	2	0	0	5	1
5544	chr14	101480460	101481420	88	186	96	214	52	38	0	0	0	0	0	0
5545	chr14	101535010	101535880	37	146	55	123	29	58	0	0	0	0	1	0
5546	chr14	101564220	101565460	18	83	39	111	9	30	0	0	0	1	2	1
5547	chr14	101584270	101585000	0	1	0	2	0	2	34	32	7	18	19	20
5548	chr14	101717230	101717740	3	1	2	5	0	2	13	13	12	9	7	10
5549	chr14	101722040	101722680	5	18	9	14	19	9	29	19	11	15	8	34
5550	chr14	101731110	101732010	18	75	25	64	14	22	15	11	5	19	8	6
5551	chr14	101947770	101948790	158	337	220	403	273	303	88	87	54	79	36	124
5552	chr14	101972340	101972690	7	29	12	38	13	15	17	15	7	22	13	14
5553	chr14	102071490	102071830	0	2	0	1	1	0	4	3	1	8	1	7
5554	chr14	102090120	102090550	16	23	8	42	15	28	9	8	5	1	1	9
5555	chr14	102262790	102263300	9	20	8	14	10	6	2	1	1	5	1	0
5556	chr14	102279610	102281020	21	90	30	82	34	41	54	83	42	125	27	89
5557	chr14	102516550	102516820	12	19	10	29	17	22	2	3	2	9	2	4
5558	chr14	102516840	102517140	7	21	13	26	12	18	4	4	4	3	0	8
5559	chr14	102517240	102517510	1	14	9	11	6	11	2	3	5	4	3	7
5560	chr14	102524520	102525790	80	188	93	267	111	173	59	68	55	62	43	85
5561	chr14	102527440	102528210	14	58	14	54	39	38	3	12	0	11	3	15
5562	chr14	102539690	102540860	0	2	1	0	0	0	37	46	18	30	18	104
5563	chr14	102551900	102552610	0	2	3	1	2	2	21	14	2	5	13	73
5564	chr14	102552630	102553370	1	2	0	2	1	0	14	54	7	11	56	264
5565	chr14	102580010	102580620	3	13	0	3	5	4	9	21	5	15	10	19
5566	chr14	103071390	103072160	79	246	101	196	207	228	0	2	0	0	1	3
5567	chr14	103072980	103073610	85	229	60	220	184	172	0	2	0	0	4	0
5568	chr14	103074860	103076010	119	358	229	360	328	314	4	6	7	7	5	11
5569	chr14	103091330	103091930	14	29	14	42	18	24	10	9	1	8	2	8
5570	chr14	103103600	103104590	118	255	171	354	81	132	12	11	7	11	5	11
5571	chr14	103109840	103110560	28	89	60	120	26	27	19	17	17	29	6	5
5572	chr14	103111010	103111690	28	88	32	104	20	27	2	4	3	4	2	0
5573	chr14	103121420	103122640	140	446	178	482	176	196	14	15	12	21	6	13
5574	chr14	103122660	103124080	306	936	517	1155	257	587	8	24	16	32	4	21
